session,mp_name,constituency,days_attended
1,sudipbandyopadhyay,kolkatauttar,6
1,nkpremachandran,kollam,5
1,sangannakaradi,koppal,6
1,jhinahikaka,koraput,6
1,banshilalmahto,korba,6
1,ombirla,kota,5
1,josekmani,kottayam,6
1,mkraghavan,kozhikode,6
1,kashokkumar,krishnagiri,6
1,tapaspaul,krishnanagar,6
1,renukabutta,kurnool,6
1,rajkumarsaini,kurukshetra,6
1,rajeshpandey,kushinagar,6
1,thupstanchhewang,ladakh,5
1,faizalppmohammad,lakshadweep,6
1,neelamsonker,lalganj,5
1,sunilgaikwad,latur,5
1,sudarshanbhagat,lohardaga,6
1,rajnathsingh,lucknow,1
1,ravneetsinghbittu,ludhiana,4
1,ramcharitra,machhlishahr,6
1,konakallanarayanarao,machilipatnam,6
1,vijaysinhmohitepatil,madha,4
1,rajeshranjan,madhepura,4
1,hukmdeonarayanyadav,madhubani,6
1,rgopalakrishnan,madurai,6
1,seetaramajmeeranaik,mahabubabad,5
1,apjithenderreddy,mahabubnagar,6
1,pankajchowdhary,maharajganj,5
1,janardansinghsigriwal,maharajganj,6
1,chandulalsahu,mahasamund,6
1,jayshreebenpatel,mahesana,6
1,eahamed,malappuram,6
1,ahkhanchoudhary,maldahadakshin,4
1,mausamnoor,maldahauttar,6
1,chmallareddy,malkajgiri,5
1,ramswaroopsharma,mandi,4
1,faggansinghkulaste,mandla,6
1,sudheergupta,mandsour,5
1,csputtaraju,mandya,6
1,ramendeka,mangaldoi,6
1,hemamalini,mathura,3
1,choudhurymohanjatua,mathurapur,6
1,rangappabarne,maval,4
1,kodikunnilsuresh,mavelikkara,5
1,rkbharathimohan,mayiladuthurai,6
1,ramachandrahansdah,mayurbhanj,6
1,sandhyaroy,medinipur,6
1,rajendraagrawal,meerut,6
1,anupriyapatel,mirzapur,6
1,anjubala,misrikh,6
1,clruala,mizoram,6
1,kaushalkishore,mohanlalganj,6
1,kunwarsarveshkumar,moradabad,6
1,anoopmishra,morena,4
1,gopalchinayyashetty,mumbai-north,6
1,poonammahajan,mumbai-north-central,4
1,kiritsomaiya,mumbai-north-east,5
1,gajananchandrakantkirtikar,mumbai-north-west,5
1,arvindganpatsawant,mumbai-south,6
1,rahulrameshshewale,mumbai-south-central,6
1,veenadevi,munger,6
1,mdbadaruddozakhan,murshidabad,6
1,sanjeevbalyan,muzaffarnagar,6
1,ajaynishad,muzaffarpur,6
1,prathapsimha,mysore,6
1,balabhadramajhi,nabarangpur,6
1,neiphiurio,nagaland,6
1,kgopal,nagapattinam,6
1,nandiyellaiah,nagarkurnool,6
1,crchaudhary,nagaur,6
1,yashwantsingh,nagina,4
1,nitinjairamgadkari,nagpur,2
1,bhagatsinghkoshyari,nainital-udhamsinghnagar,6
1,kaushalendrakumar,nalanda,6
1,guthasukhenderreddy,nalgonda,5
1,prsundaram,namakkal,6
1,ashokshankarraochavan,nanded,5
1,heenavijaygavit,nandurbar,5
1,spyreddy,nandyal,4
1,rayapatisambasivarao,narasaraopet,2
1,gokarajugangaraju,narsapuram,6
1,hemanttukaramgodse,nashik,6
1,crpatil,navsari,6
1,girirajsingh,nawada,5
1,rajengohain,nawgong,6
1,mrajamohanreddy,nellore,6
1,meenakshilekhi,newdelhi,6
1,gopalakrishnanchinnaraj,nilgiris,6
1,kavithakalvakuntala,nizamabad,6
1,manojtiwari,northeastdelhi,5
1,padyessonaik,northgoa,6
1,uditraj,northwestdelhi,6
1,yvsubbareddy,ongole,6
1,ravindravishwanathgaikwad,osmanabad,5
1,thangsobaite,outermanipur,5
1,mbrajesh,palakkad,6
1,vishnudayalram,palamu,6
1,chintamanwanaga,palghar,6
1,ppchaudhary,pali,6
1,prabhatsinhchouhan,panchmahal,6
1,sanjayharibhaujadhav,parbhani,5
1,sanjayjaiswal,paschimchamparan,6
1,ramkripalyadav,pataliputra,4
1,liladharbhaivaghela,patan,6
1,antoantony,pathanamthitta,6
1,dharamviragandhi,patiala,6
1,shatrughansinha,patnasahib,6
1,balkasuman,peddapalle,5
1,rpmarutharajaa,perambalur,6
1,keshavprasadmaurya,phulpur,6
1,cmahendran,pollachi,6
1,etmohammadbasheer,ponnani,2
1,vittalbhaihansrajbhairadadiya,porbandar,1
1,kunwarharibanshsingh,pratapgarh,6
1,rradhakrishnan,puducherry,5
1,anilshirole,pune,5
1,pinakimisra,puri,3
1,santoshkumar,purnia,6
1,mrigankamahato,purulia,6
1,soniagandhi,raebareli,6
1,bvnayak,raichur,6
1,mohammadsalim,raiganj,6
1,vishnudevsai,raigarh,5
1,rameshbais,raipur,6
1,magantimuralimohan,rajahmundry,6
1,midhunreddy,rajampet,6
1,rodmalnagar,rajgarh,6
1,mohanbhaikundariya,rajkot,6
1,vijaykumarhansdak,rajmahal,5
1,abhisheksingh,rajnandgaon,6
1,hariomsinghrathore,rajsamand,6
1,aanwharraajhaa,ramanathapuram,6
1,nepalsingh,rampur,6
1,krupalbalajitumane,ramtek,5
1,tapasmandal,ranaghat,6
1,ramtahalchoudhary,ranchi,6
1,,ratlam,6
1,vinayakbhauraoraut,ratnagiri-sindhudurg,6
1,rakshakhadse,raver,5
1,janardanmishra,rewa,6
1,chhotelal,robertsganj,6
1,deependersinghhooda,rohtak,5
1,dipsinhshankarsinhrathod,sabarkantha,6
1,laxminarayanyadav,sagar,6
1,raghavlakhanpal,saharanpur,6
1,vpanneerselvam,salem,6
1,ravinderkushwaha,salempur,6
1,ramchandrapaswan,samastipur,6
1,nagendrakumarpradhan,sambalpur,6
1,satyapalsingh,sambhal,6
1,sanjaykakaramchandrapatil,sangli,5
1,bhagwantmann,sangrur,5
1,sharadtripathi,santkabirnagar,6
1,rajivprataprudy,saran,4
1,chhedipaswan,sasaram,6
1,udayanrajepratapsinghbhonsle,satara,4
1,ganeshsingh,satna,6
1,bandarudattatreya,secunderabad,4
1,kalyanbanerjee,serampore,6
1,krishnaraj,shahjahanpur,6
1,ramadevi,sheohar,6
1,vincenthpala,shillong,6
1,virendrakashyap,shimla,5
1,bsyeddyurappa,shimoga,6
1,sadashivkisanlokhande,shirdi,5
1,shivajiapatil,shirur,5
1,daddanmishra,shrawasti,4
1,ritipathak,sidhi,6
1,sumedhanandsaraswati,sikar,6
1,premdasrai,sikkim,6
1,kmsushmitadev,silchar,5
1,laxmangiluwa,singhbhum,6
1,charanjeetsinghrori,sirsa,6
1,ramkumarsharma,sitamarhi,6
1,rajeshverma,sitapur,5
1,prsenthilnathan,sivaganga,6
1,omprakashyadav,siwan,6
1,sharadbansode,solapur,4
1,rameshkaushik,sonipat,6
1,rameshbidhuri,southdelhi,6
1,narendrakeshavsawaikar,southgoa,6
1,kinjarapurammohannaidu,srikakulam,6
1,knramachandran,sriperumbudur,6
1,ferozevarungandhi,sultanpur,4
1,ranjeetranjan,supaul,4
1,darshanavikramjardosh,surat,6
1,devajibhaifatepara,surendranagar,4
1,kamalbhansinghmarabi,surguja,6
1,malarajyalaxmishah,tehrigarhwal,6
1,mvasanthi,tenkasi,6
1,ramprasadsarmah,tezpur,6
1,rajanbaburaovichare,thane,5
1,kparasuraman,thanjavur,6
1,rparthipan,theni,4
1,shashitharoor,thiruvananthapuram,6
1,jjayasinghthiyagarajnaterjee,thoothukkudi,6
1,cnjayadevan,thrissur,6
1,virendrakumar,tikamgarh,6
1,pkumar,tiruchirappalli,6
1,krpprabakaran,tirunelveli,6
1,varaprasadaraovelagapalli,tirupati,6
1,vsathyabama,tiruppur,6
1,pvenugopal,tiruvallur,6
1,rvanaroja,tiruvannamalai,6
1,sukhbirsinghjaunpuria,tonk-sawaimadhopur,6
1,jitendrachaudhury,tripuraeast,6
1,sankarprasaddatta,tripurawest,6
1,spmuddahanumegowda,tumkur,6
1,pasangma,tura,6
1,arjunlalmeena,udaipur,6
1,jitendrasingh,udhampur,4
1,kmshobhakarandlaje,udupichikmagalur,6
1,nityanandrai,ujiarpur,6
1,chintamanimalviya,ujjain,4
1,sultanahmed,uluberia,6
1,swamisakshijimaharaj,unnao,6
1,anantkumarhegde,uttarakannada,6
1,mullappallyramachandran,vadakara,6
1,ramakishoresingh,vaishali,6
1,satishchandradubey,valmikinagar,6
1,kcpatel,valsad,6
1,balasubramaniansenguttuvan,vellore,6
1,srinivaskesineni,vijayawada,6
1,srajendran,viluppuram,6
1,tradhakrishnan,virudhunagar,6
1,haribabukhambhapati,visakhapatnam,6
1,ashokgajapatiraju,vizianagaram,4
1,,warangal,6
1,ramdastadas,wardha,4
1,mishanavas,wayanad,5
1,parveshsahibsinghverma,westdelhi,6
1,bhavanagawali,yavatmal-washim,2
1,bheemaraobpatil,zahirabad,3
2,nageshgodam,adilabad,27
2,ramshankar,agra,23
2,pareshrawal,ahmedabadeast,17
2,kiritsolanki,ahmedabadwest,27
2,dilipgandhi,ahmednagar,22
2,sanwarlaljat,ajmer,1
2,devendraaliasbholesingh,akbarpur,26
2,sanjaydhotre,akola,27
2,kcvenugopal,alappuzha,23
2,pkbiju,alathur,25
2,satishkumargautam,aligarh,26
2,dasrathtirkey,alipurduars,18
2,shyamacharangupta,allahabad,27
2,ajaytamta,almora,20
2,chandnath,alwar,27
2,ravindrababupandula,amalapuram,26
2,rattanlalkataria,ambala,26
2,hariompandey,ambedkarnagar,25
2,rahulgandhi,amethi,22
2,anandraoadsul,amravati,23
2,naranbhaikachhadiya,amreli,27
2,captainamarindersingh,amritsar,5
2,kanwarsinghtanwar,amroha,27
2,muthamsettisrinivasarao,anakapalli,23
2,dilippatel,anand,19
2,premsinghchandumajra,anandpursahib,25
2,jcdivakarreddy,anantapur,23
2,bishnupadaray,andamanandnicobarislands,23
2,dharmendrakumar,aonla,23
2,ghari,arakkonam,27
2,geethakothapalli,araku,27
2,aparupapoddar,arambagh,20
2,velumalai,arani,27
2,taslimuddin,araria,22
2,rksingh,arrah,27
2,ninongering,arunachaleast,24
2,kirenrijiju,arunachalwest,26
2,babulsupriyo,asansol,10
2,ladukishoreswain,aska,27
2,asampath,attingal,24
2,sushilkumarsingh,aurangabad,27
2,chandrakantbkhaire,aurangabad,18
2,birensinghengti,autonomousdistrict,27
2,mulayamsinghyadav,azamgarh,24
2,dharmendrayadav,badaun,27
2,pcgaddigoudar,bagalkot,23
2,satyapalsingh,baghpat,27
2,adhirranjanchowdhury,baharampur,27
2,sadhvisavitribaiphule,bahraich,23
2,bodhsinghbhagat,balaghat,25
2,rabindrakumarjena,balasore,25
2,bharatsingh,ballia,26
2,kmarpitaghosh,balurghat,7
2,haribhaiparthibhaichaudhary,banaskantha,26
2,bhaironprasadmishra,banda,27
2,pcmohan,bangalorecentral,26
2,dvsadanandagowda,bangalorenorth,2
2,dksuresh,bangalorerural,26
2,kapilkrishnathakur,bangaon,10
2,jayprakashnarayanyadav,banka,20
2,devvarmamoonmoonsen,bankura,20
2,kamleshpaswan,bansgaon,22
2,manshankarninama,banswara,23
2,srirammalyadri,bapatla,26
2,priyankasinghrawat,barabanki,27
2,supriyasule,baramati,27
2,muzaffarhussainbaig,baramulla,4
2,kakolighoshdastidar,barasat,21
2,sunilkumarmondal,bardhamanpurba,26
2,mamtazsanghamita,bardhaman-durgapur,25
2,parbhubhaivasava,bardoli,25
2,prabhaskumarsingh,bargarh,26
2,sonaramchoudhary,barmer,25
2,sirajuddinajmal,barpeta,2
2,dineshtrivedi,barrackpur,22
2,idrisali,basirhat,16
2,dineshkashyap,bastar,21
2,harishdwivedi,basti,27
2,harsimratkaurbadal,bathinda,3
2,bholasingh,begusarai,27
2,sureshcangadi,belgaum,22
2,bsreeramulu,bellary,10
2,sidhantmohapatra,berhampur,19
2,jyotidhurve,betul,26
2,virendrasingh,bhadohi,26
2,arjuncharansethi,bhadrak,25
2,shaileshkumarbulomandal,bhagalpur,22
2,nanabhaufalgunraopatole,bhandara-gondiya,25
2,bahadursinghkoli,bharatpur,27
2,mansukhabhaivasava,bharuch,26
2,bharatishiyal,bhavnagar,24
2,subhashchandrabaheriya,bhilwara,27
2,bhagirathprasad,bhind,26
2,kapilmoreshwarpatil,bhiwandi,25
2,dharamveersingh,bhiwani-mahendragarh,23
2,booranarsaiahgoud,bhongir,16
2,aloksanjar,bhopal,27
2,profprasannakumarpatasani,bhubaneswar,25
2,bhagwanthkhuba,bidar,25
2,rameshcjigajinagi,bijapur,27
2,kunwarbhartendrasingh,bijnor,22
2,arjunrammeghwal,bikaner,26
2,lakhanlalsahu,bilaspur,27
2,satabdiroybanerjee,birbhum,25
2,saumitrakhan,bishnupur,11
2,kalikeshnarayansinghdeo,bolangir,24
2,anupamhazra,bolpur,23
2,bholasingh,bulandshahr,26
2,pratapraoganpatraojadhav,buldhana,16
2,ashwinikumarchoubey,buxar,27
2,innocent,chalakudy,18
2,rdhruvanarayana,chamrajanagar,26
2,mahendranathpandey,chandauli,25
2,kirronkher,chandigarh,24
2,hansrajgangaramahir,chandrapur,25
2,sunilkumarsingh,chatra,27
2,kondavishweshwarreddy,chelvella,27
2,srvijaykumar,chennaicentral,27
2,tgvenkateshbabu,chennainorth,27
2,jayakumarjayavardhan,chennaisouth,27
2,kamalnath,chhindwara,16
2,ramsinhrathwa,chhotaudaipur,26
2,mchandrakasi,chidambaram,27
2,mveerappamoily,chikkballapur,25
2,prakashbhukkeri,chikkodi,3
2,bnchandrappa,chitradurga,26
2,naramallisivaprasad,chittoor,17
2,chandraprakashjoshi,chittorgarh,27
2,rahulkaswan,churu,27
2,pnagarajan,coimbatore,27
2,renukasinha,coochbehar,22
2,aarunmozhithevan,cuddalore,27
2,bhartruharimahtab,cuttack,26
2,natubhaigomanbhaipatel,dadraandnagarhaveli,23
2,jasvantsinhbhabhor,dahod,26
2,nalinkumarkateel,dakshinakannada,26
2,lalubhaibpatel,damananddiu,23
2,prahladsinghpatel,damoh,27
2,kirtiazad,darbhanga,27
2,ssahluwalia,darjeeling,27
2,harishmeena,dausa,27
2,manoharuntwal,dewas,8
2,pashupatinathsingh,dhanbad,27
2,savitrithakur,dhar,26
2,anbumaniramadoss,dharmapuri,15
2,pralhadjoshi,dharwad,23
2,rekhaverma,dhaurahra,23
2,tathagatasatpathy,dhenkanal,27
2,badruddinajmal,dhubri,18
2,subhashramraobhamre,dhule,24
2,abhishekbanerjee,diamondharbour,16
2,rameshwarteli,dibrugarh,27
2,mudhayakumar,dindigul,27
2,harishchandradeoramchavan,dindori,26
2,jagdambikapal,domariyaganj,27
2,saugataroy,dumdum,24
2,shibusoren,dumka,1
2,tamradhwajsahu,durg,25
2,maheishgirri,eastdelhi,27
2,venakateswararaomagannti,eluru,23
2,kvthomas,ernakulam,23
2,sselvakumarachinnayan,erode,27
2,rajveersingh,etah,24
2,ashokkumardohrey,etawah,27
2,lallusingh,faizabad,27
2,krishanpal,faridabad,24
2,sadhusingh,faridkot,15
2,mukeshrajput,farrukhabad,26
2,harindersinghkhalsa,fatehgarhsahib,26
2,sadhviniranjanjyoti,fatehpur,27
2,babulalchaudhary,fatehpursikri,27
2,shersinghghubaya,ferozpur,21
2,akshayyadav,firozabad,26
2,ashokmahadeoraonete,gadchiroli-chimur,23
2,lkadvani,gandhinagar,27
2,nihalchandchauhan,ganganagar,26
2,majgenretdbckhanduriavsm,garhwal,27
2,bijoyachakraborty,gauhati,24
2,maheshsharma,gautambuddhanagar,26
2,harimanjhi,gaya,26
2,deepakdevadhikari,ghatal,1
2,genretdvksingh,ghaziabad,10
2,manojkumarsinha,ghazipur,1
2,harinarayanrajbhar,ghosi,27
2,ravindrakumarpandey,giridih,27
2,nishikantdubey,godda,27
2,kirtivardhansingh,gonda,22
2,janakram,gopalganj,27
2,yogiadityanath,gorakhpur,26
2,mallikarjunkharge,gulbarga,26
2,jyotiradityamadhavraoscindia,guna,21
2,jayadevgalla,guntur,24
2,vinodkhanna,gurdaspur,26
2,narendrasinghtomar,gwalior,1
2,ramvilaspaswan,hajipur,1
2,anuragsinghthakur,hamirpur,25
